attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb,magnet_det_rate,squeezer_det_rate
bim,True,,,500,5.0,0.1,,,,,,,,,,bim0.0050.1_succ,gen_list_1,cifar,conv12,100,85,52,0.611764705882353,0.0482069325447082,0.2764492201117369,15.291931078984188,0.00500002474739,2.487976589491381e-05,0.9998020567170894,622.605572674978,0.0108657165499339,0.9751211517453184,0.999201750034974,89.66105724912478,43.85405159888167,0.15384615384615385,0.2692307692307692
bim,True,,,500,7.0,0.1,,,,,,,,,,bim0.0070.1_succ,gen_list_1,cifar,conv12,100,85,61,0.7176470588235294,0.0482330203056335,0.385821195899463,21.2939778624988,0.0070000290870666,4.847823043206708e-05,0.9996757815452612,827.8776135600313,0.0144771418881535,0.9509888085190848,0.9987904718077188,119.2360809624213,40.600044672756106,0.22950819672131148,0.4098360655737705
bim,True,,,500,9.0,0.1,,,,,,,,,,bim0.0090.1_succ,gen_list_1,cifar,conv12,100,85,68,0.8,0.0482222318649292,0.4961648333598585,27.392772927003747,0.0090000033378601,8.017197338290934e-05,0.9995054043373766,1054.022339291093,0.0187090633485525,0.9320608736746268,0.9988503699430156,151.80886428908133,38.90718848645237,0.25,0.5294117647058824
fgm,True,,,500,0.01,,,,,,,,,,,fgm0.01_succ,gen_list_1,cifar,conv12,100,85,72,0.8470588235294118,0.0011888456344604,0.5509703680872917,30.404032521777683,0.0100000202655792,9.8863198102485e-05,0.9993790847726282,1193.445431702526,0.0210996010203543,0.923570993119816,0.9992115725114236,171.86631774507583,37.71905672872241,0.05555555555555555,0.25
fgm,True,,,500,0.03,,,,,,,,,,,fgm0.03_succ,gen_list_1,cifar,conv12,100,85,82,0.9647058823529412,0.0012793469429016,1.6485926421677195,90.86882028347108,0.0300000011920928,0.0008852113411084,0.995698757009917,3520.964412924224,0.0627267358445569,0.7650469434775768,0.9970879820927988,506.9466119974076,29.657449090884363,0.04878048780487805,0.0975609756097561
fgm,True,,,500,0.05,,,,,,,,,,,fgm0.05_succ,gen_list_1,cifar,conv12,100,85,77,0.9058823529411764,0.001196973323822,2.73070198220092,150.0357964255593,0.0500000119209289,0.0024295324229892,0.9901226765499468,5591.420072916204,0.098368238045766,0.6320007263624782,0.9923348082082188,805.2703830130279,25.736177038029744,0.11688311688311688,0.09090909090909091
fgm,True,,,500,0.07,,,,,,,,,,,fgm0.07_succ,gen_list_1,cifar,conv12,100,85,74,0.8705882352941177,0.0012035131454467,3.807074334170368,208.8122304967932,0.070000022649765,0.0047236759582922,0.9833938642297528,7551.154342588212,0.1348491127651192,0.5335104437617647,0.9857097619366288,1087.9901392044014,23.073847892017117,0.06756756756756757,0.02702702702702703
fgm,True,,,500,0.09,,,,,,,,,,,fgm0.09_succ,gen_list_1,cifar,conv12,100,85,72,0.8470588235294118,0.0011807775497436,4.871413475937313,266.6112287309435,0.090000033378601,0.0077367002944451,0.9742195029019408,9617.246026747676,0.1710971179901979,0.4571306183269713,0.9762362892842538,1385.4956366964163,21.03497927807321,0.027777777777777776,0.013888888888888888
fgm,True,,,500,1.0,,,,,,,,,,,fgm0.001_succ,gen_list_1,cifar,conv12,100,85,11,0.1294117647058823,0.0012045049667358,0.0553658299825408,3.0654212778264824,0.0010000020265579,9.978476582660553e-07,0.9999969980793224,99.03468771117842,0.0018378091072538,0.9992168976446708,0.9999456114754784,14.282112886779071,54.45935868984175,0.0,0.0
fgm,True,,,500,3.0,,,,,,,,,,,fgm0.003_succ,gen_list_1,cifar,conv12,100,85,32,0.3764705882352941,0.0012059164047241,0.1658808132633566,9.172987818717957,0.0030000209808349,8.95801465366035e-06,0.9999008011183168,394.0074213906977,0.0067625581349564,0.9911345108636764,0.9999148042205832,56.73439121750365,47.16773769296303,0.03125,0.15625
