attack,is_succ,confidence,max_iter,batch_size,epsilon,epsilon_step,delta,norm,theta,gamma,eta,max_eval,init_eval,init_size,num_trial,file_name,csv_name,dataset_name,model_name,x_test_size,correct_size,adv_size,success_rate,second_image,avg_l2,avg_l1,avg_linf,avg_mse,avg_uqi,avg_ergas,avg_sam,avg_scc,avg_vifp,avg_rase,avg_psnrb
uni,True,,100.0,500,0.1,,0.1,2.0,,,,,,,,uni0.11000.12.0_succ,gen_list_uni,cifar,conv12,100,85,1,0.011764705882352941,129.02759807109834,0.09993060513475335,4.140166828270051,0.008294898154688868,3.2506920060540336e-06,0.9999942686444673,145.99736825454545,0.002768683175430117,0.9925982738413547,1.000554851700545,21.023604299654778,54.92297134550424
uni,False,,100.0,500,0.1,,0.1,2.0,,,,,,,,uni0.11000.12.0_miss,gen_list_uni,cifar,conv12,100,85,84,0.011764705882352941,129.02759807109834,0.09960493254877521,4.112343682459335,0.00828055714637074,3.2300961732670993e-06,0.9999774523647761,231.93242400215573,0.0037412830298428445,0.992918809242754,0.9999297353258131,33.35947571869739,54.92297134550424
uni,True,,100.0,500,0.1,,5,2.0,,,,,,,,uni0.11000.0052.0_succ,gen_list_uni,cifar,conv12,100,85,0,0.0,129.3427688026428,0.0,0.0,0.0,,,,,,,,
uni,False,,100.0,500,0.1,,5,2.0,,,,,,,,uni0.11000.0052.0_miss,gen_list_uni,cifar,conv12,100,85,85,0.0,129.3427688026428,0.09964626800520879,3.8713828377096546,0.015550569993833314,3.2328355234631225e-06,0.9999781795094774,227.26789187071816,0.003722129284285465,0.994648278792977,0.9998919313148379,32.6709869680444,
uni,True,,100.0,500,0.1,,1,2.0,,,,,,,,uni0.11000.0012.0_succ,gen_list_uni,cifar,conv12,100,85,0,0.0,130.74367314577103,0.0,0.0,0.0,,,,,,,,
uni,False,,100.0,500,0.1,,1,2.0,,,,,,,,uni0.11000.0012.0_miss,gen_list_uni,cifar,conv12,100,85,85,0.0,130.74367314577103,0.09982071430583471,3.6943054968753266,0.009643437089562855,3.243683841121441e-06,0.9999766493132686,240.54170340395396,0.0037192058803191927,0.9945866985217988,1.0000409700600055,34.60030820713547,
uni,True,,10.0,500,0.1,,0.2,2.0,,,,,,,,uni0.1100.22.0_succ,gen_list_uni,cifar,conv12,100,85,0,0.0,13.129920434951782,0.0,0.0,0.0,,,,,,,,
uni,False,,10.0,500,0.1,,0.2,2.0,,,,,,,,uni0.1100.22.0_miss,gen_list_uni,cifar,conv12,100,85,85,0.0,13.129920434951782,0.0997182240738488,3.950377663753346,0.009110686561507618,3.2372904026876294e-06,0.99997614237019,237.67233431717412,0.0037339299612725928,0.9941153978879663,0.9999192645414682,34.20827074048017,
uni,True,,30.0,500,0.1,,0.2,2.0,,,,,,,,uni0.1300.22.0_succ,gen_list_uni,cifar,conv12,100,85,0,0.0,40.615433099269865,0.0,0.0,0.0,,,,,,,,
uni,False,,30.0,500,0.1,,0.2,2.0,,,,,,,,uni0.1300.22.0_miss,gen_list_uni,cifar,conv12,100,85,85,0.0,40.615433099269865,0.09969893832005894,3.7698280220601634,0.010416706264717792,3.23604985645562e-06,0.9999756964137462,243.9562062546554,0.003732675243974709,0.9942577958034696,0.9998572720419727,35.09861585996722,
uni,True,,50.0,500,0.1,,0.2,2.0,,,,,,,,uni0.1500.22.0_succ,gen_list_uni,cifar,conv12,100,85,0,0.0,66.42785158395768,0.0,0.0,0.0,,,,,,,,
uni,False,,50.0,500,0.1,,0.2,2.0,,,,,,,,uni0.1500.22.0_miss,gen_list_uni,cifar,conv12,100,85,85,0.0,66.42785158395768,0.09964273857384699,3.8193134673170674,0.012965881818660057,3.2326507090162133e-06,0.999978153425818,223.05182896417844,0.0037122555793388215,0.9943188976491419,0.9999196173267416,32.07995806409335,
